Place,Magnitude,Link,Date
"114km SSE of Pondaguitan, Philippines",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007usm,1582385393435,2020-02-22 15:29:53
"144km E of Chichi-shima, Japan",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007upz,1582361224385,2020-02-22 08:47:04
"36km SSW of Amatignak Island, Alaska",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007u2w,1582280415230,2020-02-21 10:20:15
"229km NW of Saumlaki, Indonesia",5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tt3,1582230268512,2020-02-20 20:24:28
"153km ENE of Petropavlovsk-Kamchatskiy, Russia",5.8,https://earthquake.usgs.gov/earthquakes/eventpage/us70007trb,1582225056198,2020-02-20 18:57:36
"286km NNE of Luring, China",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tnv,1582221695321,2020-02-20 18:01:35
"13km SE of Kalbay, Philippines",5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us70007th0,1582192447045,2020-02-20 09:54:07
South of the Kermadec Islands,5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tf0,1582180532173,2020-02-20 06:35:32
"118km SE of Visokoi Island, South Georgia and the South Sandwich Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tdi,1582171305400,2020-02-20 04:01:45
"93km SSW of Merizo Village, Guam",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007t2i,1582127696841,2020-02-19 15:54:56
North of Svalbard,5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007s90,1582010979084,2020-02-18 07:29:39
